RespondentID,count
0000057819,3
0000058386,7
0000090173,5
0000017958,4
0000000028,11
0000000361,11
0000002099,11
0000002918,10
0000005267,21
0000005924,11
0000007544,11
0000008435,10
0000009164,11
0000024473,6
0000060275,11
0000061823,11
0000062101,3
0000065063,11
0000066116,11
0000068187,11
0000068349,10
20-1389558,10
54-1922037,3
7015500006,11
76-0236067,11
7802700002,3
0000877369,7
75-2540628,11
0000009777,11
0000935111,10
0000001414,11
0000006158,11
0000189129,9
0000009326,3
0000516855,11
0000011666,11
0000917742,7
0000014221,11
0000802866,11
0000035165,11
0000285852,11
0000022358,11
0000026912,11
0000703019,7
0000068682,1
0000058548,9
46-1843436,2
76-0644857,1
0000057990,8
0000001090,6
0000008930,5
0000704081,4
0000170976,7
0000501815,6
0000001865,10
0000008886,10
0000026255,8
0000032203,10
0000013448,5
0000012395,4
0000010162,3
0000018236,2
0000551315,1
0002752022,4
0000022853,3
0000014177,1
0000067296,1
0955809996,1
99-0000182,1
0000057540,11
0000057702,2
0000058387,9
99-0034258,1
0000005763,4
0000000362,6
0000013944,22
0000060276,11
0000060438,11
0000062715,11
0000067297,11
02-0486480,11
36-3436159,1
41-1956286,11
7334700009,3
7568300002,11
76-0561995,11
0000028489,11
0000028533,1
0000017841,4
0000001253,11
0000016617,11
0000011667,11
0000029875,11
0000022241,11
0000009822,9
0000033708,11
0000010163,11
0000034888,11
0000012396,4
0000012602,1
0000068683,1
0000018237,11
0000030260,6
0000063606,4
0000009327,15
0000001866,4
26-2053389,9
46-1728831,4
76-0573460,8
41-1726353,7
0000021017,7
0000024636,6
0000706639,6
0000012107,10
0000014178,10
0000017346,7
0000021468,10
0000026256,9
0000028038,5
0000011711,3
0000021963,2
11-3680010,1
0000033997,3
0000057658,1
11-3017854,2
99-0034591,1
99-0004198,1
0000058270,9
0000058432,10
0000090175,11
94-3338450,3
0000001254,4
0000005151,15
0000005313,4
0000007384,2
0000016456,4
0000001911,11
0000010164,11
0000010939,11
0000016500,13
0000016951,10
0000024637,20
0000060934,11
0000062716,11
0000063283,11
0000067298,8
0000067955,11
20-2007642,7
20-2470783,11
66-0237982,7
66-0665923,9
7491500000,4
7724700005,3
80-0002931,2
95-4462959,11
0000015565,4
0000017842,11
0000027599,3
0000274829,11
0003419416,10
0000272272,8
0000491224,7
0000126049,7
0003635533,11
0000057497,2
0000026590,11
0000033880,11
0000002145,11
0000018238,11
0000972590,5
0000022242,9
0000068684,1
32-0117926,9
84-0849361,6
20-1830388,3
43-1756500,5
81-2156653,1
0000003487,6
0000067342,8
0000000976,10
26-0338386,4
0000003036,5
0000011550,4
0000027148,5
26-2684331,4
20-1671394,6
20-8303184,2
0000704902,1
0000020622,5
0001624252,2
0002750242,4
0002977601,2
0000012441,4
0000006817,1
1534900004,1
0000057498,9
0000057542,11
0000057993,11
37-1450055,2
62-1259997,11
73-1374559,11
0000007547,4
0000015115,4
0000018077,4
0000000364,10
0000012604,10
0000020623,11
0000024520,10
0000060160,11
0000062393,11
0000067181,10
0000067343,3
1002800008,2
34-1846468,2
3833409991,3
58-2551505,7
66-0622444,2
7184500000,4
7408800004,4
7507300007,4
7613800008,3
7776600008,11
95-4196389,11
0000704246,7
0000010165,11
0000017348,11
0000002759,7
0000015566,8
0000011669,7
0000015610,11
0000008889,8
0000013946,2
0000022081,10
0000014062,11
0000033999,11
0000061664,8
0000012893,11
0000068685,1
0000704859,7
0000034934,11
0000703193,7
0000035050,11
0000701735,7
95-4248183,5
27-3863726,6
33-0633741,5
0000009662,1
36-4226027,8
0000001750,10
0000020010,10
0000706361,3
0000010327,10
0000026591,6
0000034321,5
0000034439,5
42-1472314,7
99-0016278,1
0000006818,3
0000010660,3
0000023909,1
0000024638,4
20-4478595,2
0000035212,5
1245100000,1
7499400000,1
39-1964163,1
46-1318423,1
0000057994,11
0000001300,2
0000014225,4
0000018078,1
0113399725,4
0000005928,10
0000012443,11
0000014676,11
0000024026,11
0000060936,11
0000063447,11
0000067344,11
0000068235,2
55-0807721,1
7584600006,3
7851700004,4
0000003533,11
0000029878,4
0000005766,11
0000014720,11
0000001418,11
0000701736,11
0000002147,11
0000009050,11
0000140018,11
0000008439,11
0000014838,11
0000020624,11
0000068686,1
0000060279,3
0000705138,7
0000196800,3
47-5349678,1
30-0889616,1
0000058434,8
26-3416474,2
0000010823,10
0000023748,8
0000704247,3
0003448425,3
0000001913,10
0000008321,7
0000010166,7
0000011552,8
0000097080,4
0000376125,2
26-1319379,5
0000906559,2
0000045627,2
0000151818,4
0000212522,1
0001942602,2
0002371236,1
0002508126,1
0000016458,2
99-0034594,1
0003602469,1
0000050028,8
0000057382,10
0000057706,10
0000058273,4
0000000528,15
0000002148,4
0000005316,4
0000008322,2
0000018079,1
0521440906,2
0000000861,11
0000016954,11
0000018574,11
0000021354,3
0000024360,11
0000064834,11
0000067507,10
0000097081,2
1363600002,2
66-0267388,11
7705300001,11
7820500001,6
0000006207,11
0000017232,4
0000034936,11
0000035214,11
0000714544,7
0000068687,1
0000002643,1
0000703519,4
0000006991,11
65-1059543,1
0000001257,1
0000014677,3
0000005929,9
0000011715,10
0000023631,6
0000012444,10
0000020012,5
0000022407,10
0000027033,9
0000033883,5
0000034774,9
61-1552666,5
0000002805,3
0000012606,1
0000024522,4
20-1782538,1
0000026593,2
0000027808,3
0000034161,1
7788600009,1
0000058274,10
0000090179,9
20-3684266,2
63-1113916,11
0000000529,13
0000002644,11
0000008323,11
0000008936,11
0000011103,11
0000011554,11
0000019510,11
0000024479,7
0000064835,10
0000067508,10
0000067841,11
0000067959,11
0000068237,11
1657400009,4
36-3987946,10
3833009998,11
0000015000,11
0000019628,11
0000014065,11
0000010168,4
0000566243,11
0000014722,11
0000916857,5
0000034162,11
0000708146,7
0000009665,11
0000010825,11
0000017233,11
0000703691,7
0000008774,11
0000005768,11
0002925666,1
0000014560,11
0000024523,16
0000009214,1
0000718109,7
26-1146120,5
46-3435079,2
0000002149,1
0004155430,6
0000001753,4
0000010212,10
0000018124,10
0000023137,10
0000026594,7
0000027485,8
26-2931538,4
99-0029132,1
11-3665652,2
30-0073253,3
99-0018396,1
0000691145,1
0000983448,4
0001820933,3
0002135401,2
0000004264,1
0000023470,3
0000023588,2
0000035053,3
0000035215,1
0000057545,1
0000005155,1
0000097082,1
1818000006,1
0000022859,2
20-4726736,1
