Activity Year,Respondent Identification Number,Agency Code,Parent Identification Number,Parent Name,Parent City,Parent State,Region,Assets,Other Lender Code,Respondent Name,Respondent Address,Respondent City,Respondent State,Respondent Zip Code,Tax ID
2009,00-1440906,1,0000013688,CAPITAL ONE NA                ,MCLEAN                   ,VA,01,0088701411,1,B. F. SAUL MORTGAGE COMPANY   ,7501 WISCONSIN AVE 13TH FLR-W           ,BETHESDA                 ,MO,20814-6519,52-1440906
2009,00-2096530,1,0000013688,CAPITAL ONE NA                ,NEW ORLEANS              ,LA,04,0088701411,1,CAPITAL ONE HOME LOANS  LLC   ,12800 FOSTER STREET                     ,OVERLAND PARK            ,KS,66213     ,20-2096530
2009,0000000001,1,          ,                              ,                         ,  ,01,0635476000,0,WACHOVIA BANK NA              ,TONYA YOUNG 100 N MAIN ST MAC D4001-063 ,WINSTON-SALEM            ,NC,27101     ,22-1147033
2009,0000000008,1,          ,                              ,                         ,  ,03,1746242000,0,JPMORGAN CHASE BANK  NA       ,1111 POLARIS PARKWAY                    ,COLUMBUS                 ,OH,43240-2031,13-4994650
2009,0000000024,1,          ,                              ,                         ,  ,03,0261775591,0,US BANK  N.A.                 ,777 EAST WISCONSIN AVE                  ,MILWAUKEE                ,WI,53202-5300,31-0841368
2009,0000000047,1,          ,                              ,                         ,  ,03,0002224572,0,FIRST FINANCIAL BANK NA       ,1401 S THIRD ST                         ,TERRE HAUTE              ,IN,47802     ,35-0704860
2009,0000000056,1,          ,                              ,                         ,  ,03,0003685878,0,FIRST FINANCIAL BANK          ,300 HIGH STREET                         ,HAMILTON                 ,OH,45011     ,31-0308605
2009,0000000086,1,          ,                              ,                         ,  ,03,0000052633,0,FIRST NATIONAL BANK OF GERMANT,17 N MAIN ST                            ,GERMANTOWN               ,OH,45327-1349,31-0294798
2009,0000000148,1,          ,                              ,                         ,  ,01,0001297208,0,FIRST NATIONAL BANK OF CC     ,P.O. BOX 523                            ,WEST CHESTER             ,PA,19381-0523,23-1209886
2009,0000000182,1,          ,                              ,                         ,  ,04,0000107074,0,FIRST NATIONAL BANK _ TRUST CO,630 DELAWARE                            ,LEAVENWORTH              ,KS,66048     ,48-1175601
