Activity Year,Respondent Identification Number,Agency Code,Parent Identification Number,Parent Name,Parent City,Parent State,Region,Assets,Other Lender Code,Respondent Name,Respondent Address,Respondent City,Respondent State,Respondent Zip Code,Tax ID
2007,95-4769926,7,0000001074,FARMERS INSURANCE GROUP FEDERA,LOS ANGELOS              ,CA,09,0000500000,5,COMMUNITY MORTGAGE FUNDING  LL,3201 W. TEMPLE AVE. SUITE 120           ,POMONA                   ,CA,91768     ,95-4769926
2007,0000000001,1,          ,                              ,                         ,  ,05,0518123000,0,WACHOVIA BANK NA              ,301 S COLLEGE ST                        ,CHARLOTTE                ,NC,28202     ,22-1147033
2007,0000000008,1,          ,                              ,                         ,  ,03,1179390000,0,JPMORGAN CHASE BANK           ,1111 POLARIS PARKWAY                    ,COLUMBUS                 ,OH,43240     ,13-4994650
2007,0000000024,1,          ,                              ,                         ,  ,03,0217802326,0,US BANK  N.A.                 ,777 EAST WISCONSIN AVE                  ,MILWAUKEE                ,WI,53202-5300,31-0841368
2007,0000000042,1,          ,                              ,                         ,  ,01,0001921913,0,BLC BANK NA                   ,1097 COMMERCIAL AVE                     ,EAST PETERSBURG          ,PA,17520     ,23-1131024
2007,0000000047,1,          ,                              ,                         ,  ,03,0002095149,0,FIRST FINANCIAL BANK NA       ,1401 S THIRD ST                         ,TERRE HAUTE              ,IN,47802     ,35-0704860
2007,0000000056,1,          ,                              ,                         ,  ,03,0003262897,0,FIRST FINANCIAL BANK          ,300 HIGH STREET                         ,HAMILTON                 ,OH,45011     ,31-0308605
2007,0000000086,1,          ,                              ,                         ,  ,03,0000057405,0,FIRST NATIONAL BANK OF GERMANT,17 NORTH MAIN STREET                    ,GERMANTOWN               ,OH,45327-1349,31-0294798
2007,0000000095,1,          ,                              ,                         ,  ,03,0000385382,0,FIRST NATIONAL BANK OF HUDSON ,307 SECOND ST                           ,HUDSON                   ,WI,54016     ,39-0361770
2007,0000000113,1,          ,                              ,                         ,  ,03,0000225847,0,FIRST NATIONAL BANK DANVILLE  ,PO BOX 1010                             ,DANVILLE                 ,IL,61834-1010,37-0238115
2007,0000000148,1,          ,                              ,                         ,  ,01,0000867590,0,FIRST NATIONAL BANK OF CC     ,P. O. BOX 523                           ,WEST CHESTER             ,PA,19381     ,23-1209886
2007,0000000182,1,          ,                              ,                         ,  ,04,0000105855,0,FIRST NATIONAL BANK & TRUST CO,630 DELAWARE                            ,LEAVENWORTH              ,KS,66048     ,48-1175601
2007,0000000209,1,          ,                              ,                         ,  ,04,0007641954,0,FIRST NATIONAL BANK OF OMAHA  ,1620 DODGE STREET                       ,OMAHA                    ,NE,68197     ,47-0259043
2007,0000000249,1,          ,                              ,                         ,  ,01,0005843003,0,FIRST NATIONAL BANK OF PA     ,166 MAIN STREET                         ,GREENVILLE               ,PA,16125-2146,25-1255405
2007,0000000311,1,          ,                              ,                         ,  ,01,0000949157,0,ADAMS COUNTY NATIONAL BANK    ,LOAN SERVICES P.O. BOX 3129             ,GETTYSBURG               ,PA,17325     ,23-0581360
2007,0000000324,1,          ,                              ,                         ,  ,01,0000607588,0,FIRST NATIONAL BANK & TRUST CO,40 SOUTH STATE STREET                   ,NEWTOWN                  ,PA,18940     ,23-0916895
2007,0000000325,1,          ,                              ,                         ,  ,01,0000303708,0,FNB BANK  N.A.                ,100 INDEPENDENCE ST                     ,SHAMOKIN                 ,PA,17872     ,24-0558097
2007,0000000336,1,          ,                              ,                         ,  ,05,0037608492,0,FIRST TENNESSEE BANK NA       ,165 MADISON                             ,MEMPHIS                  ,TN,38103     ,62-0201385
2007,0000000347,1,          ,                              ,                         ,  ,03,0000054553,0,FIRST NATIONAL BANK OF LACON  ,111 SOUTH BROAD ST     P O BOX 308      ,LACON                    ,IL,61540     ,36-1078900
