Activity Year,Respondent ID,Agency Code,Parent Respondent ID,Parent Name (Panel),Parent City (Panel),Parent State (Panel),Region,Assets,Other Lender Code,Respondent Name (Panel),Respondent City (Panel),Respondent State (Panel),Top Holder RSSD ID,Top Holder Name,Top Holder City,Top Holder State,Top Holder Country,Respondent RSSD ID,Parent RSSD ID,Respondent FIPS State Number
2010,95-4769926,7,0000001074,FARMERS INSURANCE GROUP FCU   ,LOS ANGELES              ,CA,09,0000500000,5,COMMUNITY MORTGAGE FUNDING LLC                                        ,POMONA                   ,CA                    ,0000000000,                              ,                         ,  ,                                        ,0003877454,0000000000,06
2010,0000000001,1,          ,                              ,                         ,  ,04,0608778000,0,WELLS FARGO BK NA                                                     ,SIOUX FALLS              ,SD                    ,0001120754,WELLS FARGO & CO              ,SAN FRANCISCO            ,CA,UNITED STATES                           ,0000451965,0000000000,46
2010,0000000008,1,          ,                              ,                         ,  ,03,1627684000,0,JPMORGAN CHASE BK NA                                                  ,COLUMBUS                 ,OH                    ,0001039502,JPMORGAN CHASE & CO           ,NEW YORK                 ,NY,UNITED STATES                           ,0000852218,0000000000,39
2010,0000000024,1,          ,                              ,                         ,  ,03,0276376130,0,U S BK NA                                                             ,CINCINNATI               ,OH                    ,0001119794,U S BC                        ,MINNEAPOLIS              ,MN,UNITED STATES                           ,0000504713,0000000000,39
2010,0000000047,1,          ,                              ,                         ,  ,03,0002434993,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,0001208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,0000693345,0000000000,18
2010,0000000056,1,          ,                              ,                         ,  ,03,0006671924,0,FIRST FNCL BK NA                                                      ,HAMILTON                 ,OH                    ,0001071276,FIRST FNCL BC                 ,CINCINNATI               ,OH,UNITED STATES                           ,0000165628,0000000000,39
2010,0000000086,1,          ,                              ,                         ,  ,03,0000055069,0,FIRST NB                                                              ,GERMANTOWN               ,OH                    ,0000000000,                              ,                         ,  ,                                        ,0000505916,0000000000,39
2010,0000000182,1,          ,                              ,                         ,  ,04,0000106249,0,FIRST NB&TC OF LEAVENWORTH                                            ,LEAVENWORTH              ,KS                    ,0001054000,EXCHANGE BSHRS CORP OF KS     ,ATCHISON                 ,KS,UNITED STATES                           ,0000022459,0000000000,20
2010,0000000209,1,          ,                              ,                         ,  ,04,0008806851,0,FIRST NB OF OMAHA                                                     ,OMAHA                    ,NE                    ,0001066209,LAURITZEN CORP                ,OMAHA                    ,NE,UNITED STATES                           ,0000527954,0000000000,31
2010,0000000249,1,          ,                              ,                         ,  ,01,0008503127,0,FIRST NB OF PA                                                        ,GREENVILLE               ,PA                    ,0003005332,FNB CORP                      ,HERMITAGE                ,PA,UNITED STATES                           ,0000379920,0000000000,42
2010,0000000324,1,          ,                              ,                         ,  ,01,0000687939,0,FIRST NB&TC NEWTOWN                                                   ,NEWTOWN                  ,PA                    ,0001117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,0001007417,0000000000,42
2010,0000000325,1,          ,                              ,                         ,  ,01,0000401995,0,FNB BK NA                                                             ,DANVILLE                 ,PA                    ,0001117129,FULTON FNCL CORP              ,LANCASTER                ,PA,UNITED STATES                           ,0000131418,0000000000,42
2010,0000000336,1,          ,                              ,                         ,  ,02,0025841918,0,FIRST TN BK NA                                                        ,MEMPHIS                  ,TN                    ,0001094640,FIRST HORIZON NAT CORP        ,MEMPHIS                  ,TN,UNITED STATES                           ,0000485559,0000000000,47
2010,0000000347,1,          ,                              ,                         ,  ,03,0000051529,0,FIRST NB LACON                                                        ,LACON                    ,IL                    ,0001208988,FIRST LACON CORP              ,LACON                    ,IL,UNITED STATES                           ,0000824738,0000000000,17
2010,0000000497,1,          ,                              ,                         ,  ,01,0000201151,0,FIRST NB OF SUFFIELD                                                  ,SUFFIELD                 ,CT                    ,0003431007,FIRST SUFFIELD FNCL           ,SUFFIELD                 ,CT,UNITED STATES                           ,0000115100,0000000000,09
2010,0000000644,1,          ,                              ,                         ,  ,01,0000515266,0,HONESDALE NB                                                          ,HONESDALE                ,PA                    ,0001144107,HONAT BC                      ,HONESDALE                ,PA,UNITED STATES                           ,0000465618,0000000000,42
2010,0000000661,1,          ,                              ,                         ,  ,01,0000634913,0,DNB FIRST NA                                                          ,DOWNINGTOWN              ,PA                    ,0001117455,DNB FNCL CORP                 ,DOWNINGTOWN              ,PA,UNITED STATES                           ,0000071318,0000000000,42
2010,0000000676,1,          ,                              ,                         ,  ,01,0000247952,0,NATIONAL GRAND BK OF MARBLEH                                          ,MARBLEHEAD               ,MA                    ,0001115406,GRAND BK CORP                 ,MARBLEHEAD               ,MA,UNITED STATES                           ,0000863607,0000000000,25
2010,0000000866,1,          ,                              ,                         ,  ,01,0000287003,0,MILFORD NB&TC                                                         ,MILFORD                  ,MA                    ,0002651581,MNB BC                        ,MILFORD                  ,MA,UNITED STATES                           ,0000879000,0000000000,25
2010,0000000929,1,          ,                              ,                         ,  ,01,0000238205,0,NATIONAL UNION BK                                                     ,KINDERHOOK               ,NY                    ,0002589732,KINDERHOOK BK CORP            ,KINDERHOOK               ,NY,UNITED STATES                           ,0000313401,0000000000,36
2010,0000000976,1,          ,                              ,                         ,  ,01,0000158710,0,PUTNAM COUNTY NB OF CARMEL                                            ,CARMEL                   ,NY                    ,0000000000,                              ,                         ,  ,                                        ,0000287007,0000000000,36
2010,0000001027,1,          ,                              ,                         ,  ,01,0000457788,0,LYONS NB                                                              ,LYONS                    ,NY                    ,0001246476,LYONS BC                      ,LYONS                    ,NY,UNITED STATES                           ,0000323204,0000000000,36
2010,0000001083,1,          ,                              ,                         ,  ,01,0000118649,0,FIRST NB OF GROTON                                                    ,GROTON                   ,NY                    ,0000000000,                              ,                         ,  ,                                        ,0000917500,0000000000,36
2010,0000001090,1,          ,                              ,                         ,  ,01,0001409715,0,ALLIANCE BK NA                                                        ,SYRACUSE                 ,NY                    ,0001140510,ALLIANCE FC                   ,SYRACUSE                 ,NY,UNITED STATES                           ,0000814216,0000000000,36
2010,0000001154,1,          ,                              ,                         ,  ,03,0000283478,0,FIRST NB OF OTTAWA                                                    ,OTTAWA                   ,IL                    ,0002791816,FIRST OTTAWA BSHRS            ,OTTAWA                   ,IL,UNITED STATES                           ,0000856243,0000000000,17
2010,0000001194,1,          ,                              ,                         ,  ,01,0000158431,0,ROCKPORT NB                                                           ,ROCKPORT                 ,MA                    ,0002802909,ROCKPORT NAT BC               ,ROCKPORT                 ,MA,UNITED STATES                           ,0000555005,0000000000,25
2010,0000001195,1,          ,                              ,                         ,  ,01,0000275358,0,NATIONAL BK OF MIDDLEBURY                                             ,MIDDLEBURY               ,VT                    ,0001136214,MIDDLEBURY NAT CORP           ,MIDDLEBURY               ,VT,UNITED STATES                           ,0000173306,0000000000,50
2010,0000001253,1,          ,                              ,                         ,  ,01,0000365584,0,BALLSTON SPA NB                                                       ,BALLSTON SPA             ,NY                    ,0001048728,BALLSTON SPA BC               ,BALLSTON SPA             ,NY,UNITED STATES                           ,0000000505,0000000000,36
2010,0000001316,1,          ,                              ,                         ,  ,01,0260309849,0,PNC BK NA                                                             ,PITTSBURGH               ,PA                    ,0001069778,PNC FNCL SVC GROUP            ,PITTSBURGH               ,PA,UNITED STATES                           ,0000817824,0000000000,42
2010,0000001354,1,          ,                              ,                         ,  ,01,0005424588,0,NBT BK NA                                                             ,FRIENDSVILLE             ,PA                    ,0001139279,NBT BC                        ,NORWICH                  ,NY,UNITED STATES                           ,0000702117,0000000000,42
2010,0000001368,1,          ,                              ,                         ,  ,01,0000504457,0,COMMUNITY NB                                                          ,DERBY                    ,VT                    ,0001115040,COMMUNITY BC                  ,DERBY                    ,VT,UNITED STATES                           ,0000270504,0000000000,50
2010,0000001398,1,          ,                              ,                         ,  ,01,0000194550,0,NATIONAL BK OF COXSACKIE                                              ,COXSACKIE                ,NY                    ,0000000000,                              ,                         ,  ,                                        ,0000234506,0000000000,36
2010,0000001461,1,          ,                              ,                         ,  ,04,1161361000,0,CITIBANK NA                                                           ,LAS VEGAS                ,NV                    ,0001951350,CITIGROUP                     ,NEW YORK                 ,NY,UNITED STATES                           ,0000476810,0000000000,32
2010,0000001467,1,          ,                              ,                         ,  ,04,0001464905,0,LANDMARK BK NA                                                        ,COLUMBIA                 ,MO                    ,0001054514,LANDRUM CO                    ,COLUMBIA                 ,MO,UNITED STATES                           ,0000103255,0000000000,29
2010,0000001493,1,          ,                              ,                         ,  ,03,0000650290,0,FIRST SOUTHERN NB                                                     ,LANCASTER                ,KY                    ,0001247987,FIRST SOUTHERN BC             ,STANFORD                 ,KY,UNITED STATES                           ,0000702612,0000000000,21
2010,0000001516,1,          ,                              ,                         ,  ,01,0000488123,0,UNION NAT CMNTY BK                                                    ,LANCASTER                ,PA                    ,0001141106,UNION NAT FNCL CORP           ,LANCASTER                ,PA,UNITED STATES                           ,0000043511,0000000000,42
2010,0000001750,1,          ,                              ,                         ,  ,04,0000719239,0,FIRST NB OF SANTA FE                                                  ,SANTA FE                 ,NM                    ,0001023154,NEW MEXICO BANQUEST CORP      ,SANTA FE                 ,NM,UNITED STATES                           ,0000787253,0000000000,35
2010,0000001770,1,          ,                              ,                         ,  ,04,0001214301,0,BOONE COUNTY NB OF COLUMBIA                                           ,COLUMBIA                 ,MO                    ,0001094314,CENTRAL BANCOMPANY            ,JEFFERSON CITY           ,MO,UNITED STATES                           ,0000299046,0000000000,29
2010,0000001794,1,          ,                              ,                         ,  ,03,0000209276,0,FIRST NB MN                                                           ,SAINT PETER              ,MN                    ,0001128460,BANCOMMUNITY SVC CORP         ,SAINT PETER              ,MN,UNITED STATES                           ,0000197759,0000000000,27
2010,0000001950,1,          ,                              ,                         ,  ,02,0001056222,0,FIRST NB OF FORT SMITH                                                ,FORT SMITH               ,AR                    ,0001491360,FIRST BK CORP                 ,FORT SMITH               ,AR,UNITED STATES                           ,0000397540,0000000000,05
2010,0000001997,1,          ,                              ,                         ,  ,03,0000649689,0,NATIONAL B&TC                                                         ,WILMINGTON               ,OH                    ,0001473571,NB&T FNCL GROUP ESOP          ,WILMINGTON               ,OH,UNITED STATES                           ,0000328423,0000000000,39
2010,0000002036,1,          ,                              ,                         ,  ,03,0000698359,0,VINTON CTY NB OF MCARTHUR                                             ,MC ARTHUR                ,OH                    ,0001070765,COMMUNITY BSHRS               ,MCARTHUR                 ,OH,UNITED STATES                           ,0000754826,0000000000,39
2010,0000002068,1,          ,                              ,                         ,  ,04,0000754492,0,FIRST DAKOTA NB                                                       ,YANKTON                  ,SD                    ,0001404687,FIRST DAKOTA FC               ,YANKTON                  ,SD,UNITED STATES                           ,0000441256,0000000000,46
2010,0000002137,1,          ,                              ,                         ,  ,01,0009195898,0,NATIONAL PENN BK                                                      ,BOYERTOWN                ,PA                    ,0001117026,NATIONAL PENN BSHRS           ,BOYERTOWN                ,PA,UNITED STATES                           ,0000802110,0000000000,42
2010,0000002151,1,          ,                              ,                         ,  ,01,0000906519,0,WILBER NB                                                             ,ONEONTA                  ,NY                    ,0001048670,WILBER CORP                   ,ONEONTA                  ,NY,UNITED STATES                           ,0000875918,0000000000,36
2010,0000002234,1,          ,                              ,                         ,  ,03,0004449416,0,FIRST MRCH BK NA                                                      ,MUNCIE                   ,IN                    ,0001208559,FIRST MRCH CORP               ,MUNCIE                   ,IN,UNITED STATES                           ,0000017147,0000000000,18
2010,0000002242,1,          ,                              ,                         ,  ,03,0000163444,0,HAVANA NB                                                             ,HAVANA                   ,IL                    ,0002909853,COMMUNITY INV GRP             ,HAVANA                   ,IL,UNITED STATES                           ,0000940731,0000000000,17
