app_income,occurrences
148,322425
463,7733
471,6737
1238,438
496,6208
1645,166
1342,280
833,1259
1580,260
4935,2
1088,633
1829,135
2866,18
3918,12
1591,192
3175,35
2122,86
2366,61
2142,75
3997,13
2659,46
1959,99
6466,5
5300,40
5518,8
8592,2
5803,2
6620,5
4900,40
7880,7
4818,8
9900,16
5156,5
3749,15
4101,9
4519,7
6357,5
6336,12
6658,2
7993,3
6654,4
7253,1
3794,10
7340,3
9465,1
9852,1
6397,2
7833,2
8638,2
7240,2
7982,1
12027,1
113000,1
392,13247
243,62046
540,22618
1395,295
623,2902
737,1909
897,1040
1483,222
1025,947
1084,585
858,1265
2387,61
1127,514
1460,353
1896,235
1507,223
1721,166
1522,204
2999,81
2563,50
1990,106
2580,142
6773,3
3179,24
2235,69
9879,2
3698,15
8932,2
8928,1
3475,19
2811,71
4158,16
8803,1
7168,5
4161,12
3226,17
4219,10
4190,7
4929,11
6393,4
6623,1
5614,3
8105,1
9564,1
16500,1
9182,1
11500,9
291000,1
85000,4
19200,1
10081,1
13622,1
31,1268183
516,8605
1322,349
3000,2339
1143,478
1650,482
1352,331
1339,333
5984,6
1699,170
1618,174
1303,340
2572,38
1270,454
1139,501
2776,34
1903,117
3761,18
2393,46
4391,7
3704,12
2996,41
3488,16
6559,4
2711,31
2821,26
3352,15
7387,3
5117,7
3213,21
5287,7
6266,10
6825,2
5173,6
4489,10
5345,6
7850,6
8407,3
7879,2
9162,1
9558,1
8924,1
5071,3
8257,1
9454,3
6622,2
6482,1
21058,1
20120,1
11800,3
10862,1
9383,1
85,1315779
137,396682
251,56440
451,8346
580,5504
4684,5
808,1450
2025,116
2923,29
1265,399
2748,65
2443,61
2525,73
1884,185
3098,26
3089,26
2259,64
4042,12
1975,172
3796,17
6597,2
2231,67
2721,50
3986,14
4239,14
5308,6
4186,9
4078,18
2488,55
3876,14
3490,22
3220,20
4364,9
5155,12
7910,2
5074,2
7098,8
6598,7
5482,11
7530,3
7120,4
5223,5
6361,2
9169,1
4937,2
8650,2
7066,4
114000,2
11630,1
8779,1
12292,1
65,1733915
458,8039
879,1089
2249,38
2924,38
1977,107
4000,669
883,1035
1223,448
3425,27
2096,82
2392,59
5740,10
4383,8
2655,47
9775,4
6500,117
3913,17
2833,22
5697,6
2656,45
2622,40
4957,4
5217,5
3377,12
4294,14
5157,9
3566,18
5695,6
5682,4
3561,12
4307,13
3834,16
5433,6
8501,3
9403,2
5578,3
6301,5
8211,3
7576,3
5513,5
8678,4
7333,2
7152,2
9153,1
5907,2
6154,1
7661,1
10788,1
13398,1
6934,3
10632,1
14944,1
76000,2
9647,1
11482,1
53,1510435
255,70950
804,2515
588,5421
1157,499
799,1492
481,6533
898,1056
2156,72
3105,28
970,1146
2559,55
7584,2
6890,4
5527,8
6552,8
2027,76
4092,28
7109,4
5110,10
6864,9
3028,33
2802,38
3790,24
3042,29
6396,6
6176,4
2247,63
7987,2
2914,23
3631,11
4477,8
9181,1
4357,11
7892,2
6866,4
5847,2
7567,4
7404,3
9675,1
9575,1
6722,2
5995,2
6937,2
6832,1
8229,1
10416,8
13500,13
12207,1
7810,1
26729,1
147759,1
9914,1
39000,1
133,413459
296,32862
472,7218
3306,23
1787,141
853,1211
1766,136
2035,118
1466,249
3242,15
1888,102
1718,157
2542,52
2238,58
8927,2
5670,19
3062,22
4097,13
5929,1
2874,27
5100,53
5140,11
5061,5
3691,19
4612,11
4838,9
4799,8
8249,4
5178,11
8640,10
7206,9
4291,13
8450,6
4583,30
4396,7
9338,1
7736,3
4859,11
9475,2
6557,2
7222,2
8950,2
6010,2
6376,2
9721,2
8612,1
8482,1
8409,4
10013,1
146000,2
71050,1
17378,1
10611,2
18966,2
34167,1
78,1374059
322,24906
918,1039
513,5437
1005,781
1016,701
3703,40
4624,11
3577,16
1808,139
1133,508
2848,28
2396,62
3657,17
6142,3
4697,8
4167,28
5867,1
8664,3
6678,1
9731,2
5949,3
8051,3
8145,2
5030,5
5920,4
5211,3
6378,2
4531,8
5457,4
9258,2
7912,2
6082,1
5692,4
8231,1
27000,1
90319,1
10267,2
12559,1
16800,1
8146,1
10530,1
29583,1
8845,1
2625,78
362,16808
321,24000
673,2423
633,2831
613,3081
961,824
857,1240
1533,234
2564,41
6145,4
974,790
1160,635
4126,19
2971,42
3087,21
4061,30
4259,7
5934,6
3149,29
5427,7
2479,43
4512,12
5543,7
8042,1
4725,7
4119,4
9035,7
7169,2
5529,6
7817,2
6237,2
9488,4
5251,5
5222,1
6108,4
6939,2
8085,1
18750,2
10195,2
8628,1
10435,1
260000,1
7131,1
976,800
375,33622
597,3388
876,1681
1199,559
593,3587
1417,269
1468,266
2797,35
1212,725
3441,25
1743,124
2173,73
4182,11
1653,148
2835,36
3601,16
4762,7
2513,53
4798,10
6157,2
5375,11
6732,4
8350,1
4713,9
4782,6
6188,6
4474,6
7132,3
5235,6
7342,3
5298,7
4923,8
5571,6
7092,6
4401,10
5383,2
5916,4
6913,3
4796,7
7726,2
6689,1
13494,1
17067,2
130000,2
26820,1
155,370722
108,882891
744,3352
950,2858
1700,1049
683,2323
1525,289
3124,32
1331,297
1561,191
4773,12
5605,11
1863,132
2294,67
3661,20
2739,47
3436,25
4452,10
3844,8
7202,5
3843,10
5962,9
2606,34
8423,3
3431,14
8458,4
4418,9
9097,3
7497,2
5827,4
8003,3
7481,2
7359,1
9435,2
6213,2
8935,2
9405,1
9640,1
5771,1
7571,1
11059,1
19039,1
211,100596
34,1296830
193,134657
642,3063
796,1497
368,15790
530,7188
1404,499
1344,620
1068,929
1198,425
1537,164
1924,116
1675,226
5038,6
2200,484
6204,6
3235,36
6639,11
6005,9
2888,44
4172,10
2225,77
4321,10
8961,2
4263,6
2663,45
7562,6
3152,28
8172,4
4517,13
4132,12
8396,2
6124,1
5417,5
8354,2
7587,2
7499,3
7103,4
8429,1
11578,2
153000,2
11333,1
10290,1
7647,2
55600,1
18818,1
126,537898
101,777620
115,782973
1500,5633
756,2816
4992,63
1183,445
1823,104
772,1582
2771,36
1165,476
2342,68
1378,307
1745,140
2261,55
3043,34
3198,24
2907,30
4181,12
2003,97
5918,6
7744,2
7118,1
9957,3
4415,9
4683,14
6737,3
5597,3
4917,10
8776,2
8536,1
4153,8
6419,2
