Application denied by financial institution,7367,1
Preapproval request denied by financial institution,223,31
Loan purchased by the institution,1685,14
Loan originated,2192,3
Application withdrawn by applicant,216,1152
Loan purchased by the institution,1200,690
Application withdrawn by applicant,4642,1
Loan originated,2016,5
Preapproval request denied by financial institution,118,241
Application withdrawn by applicant,0904,78
Loan originated,8749,1
Application withdrawn by applicant,124,4715
File closed for incompleteness,1217,16
Loan originated,2295,5
Application approved but not accepted,1122,3
Application approved but not accepted,533,21
Loan purchased by the institution,724,15
Preapproval request denied by financial institution,33,1223
Application approved but not accepted,125,1777
Loan originated,1367,173
Loan originated,7792,1
Application approved but not accepted,2689,2
Application denied by financial institution,5204,2
Application approved but not accepted,0526,220
Application withdrawn by applicant,7453,1
Loan purchased by the institution,4290,1
Preapproval request denied by financial institution,0844,3
File closed for incompleteness,1599,2
File closed for incompleteness,86,2074
Loan originated,93709,1
Preapproval request approved but not accepted,0127,2008
Preapproval request approved but not accepted,471,1
File closed for incompleteness,0000108,1
Loan originated,209,4652
Preapproval request denied by financial institution,1874,1
Application approved but not accepted,5294,1
Application withdrawn by applicant,495,47
Loan originated,7616,1
Preapproval request approved but not accepted,0930,11
File closed for incompleteness,9999,17
Preapproval request approved but not accepted,6552,1
Preapproval request denied by financial institution,0947,1
Application withdrawn by applicant,3358,1
Loan originated,0131,208407
Application denied by financial institution,1642,15
Application approved but not accepted,2204,1
Loan purchased by the institution,1788,11
File closed for incompleteness,464,17
Application denied by financial institution,4556,1
Application denied by financial institution,0818,137
File closed for incompleteness,1102,2
Application withdrawn by applicant,2964,3
Loan originated,5835,9
Loan purchased by the institution,9994,1
Application approved but not accepted,4161,1
Loan purchased by the institution,4217,2
Application denied by financial institution,3320,10
Loan purchased by the institution,204,556
Loan originated,9676,1
Loan originated,5938,4
Loan originated,3045,17
Loan originated,1162,25
Application denied by financial institution,3629,1
Application denied by financial institution,2775,6
Preapproval request denied by financial institution,120,643
Loan originated,439,550
File closed for incompleteness,2041,1
Application approved but not accepted,1453,7
Preapproval request approved but not accepted,574,1
Loan originated,2921,17
Application denied by financial institution,6131,1
Loan purchased by the institution,380,75
Loan originated,2015,56
Application denied by financial institution,1848,41
Application denied by financial institution,1338,1
Application approved but not accepted,6148,1
Preapproval request denied by financial institution,191,56
Application approved but not accepted,0629,130
Loan purchased by the institution,4011,2
Loan originated,488,303
Application approved but not accepted,1225,1
Preapproval request approved but not accepted,0024,3311
Preapproval request approved but not accepted,212,38
File closed for incompleteness,1496,9
Application withdrawn by applicant,0174,17519
Application denied by financial institution,476,46
Application denied by financial institution,2878,1
File closed for incompleteness,0466,143
Loan purchased by the institution,483,22
Application approved but not accepted,636,15
Loan originated,130,32005
Application withdrawn by applicant,3818,1
Application withdrawn by applicant,3088,1
Preapproval request denied by financial institution,0741,2
Preapproval request approved but not accepted,63,228
Loan originated,0337,10385
Application withdrawn by applicant,0801,106
Application withdrawn by applicant,4848,1
File closed for incompleteness,1290,20
File closed for incompleteness,361,37
File closed for incompleteness,424,27
Application withdrawn by applicant,3612,4
Loan purchased by the institution,2230,7
Loan originated,1368,19
Loan purchased by the institution,689,6
Application denied by financial institution,2265,2
Application withdrawn by applicant,021,3
Loan originated,4805,7
Application approved but not accepted,1350,67
Loan originated,0000272,3
Loan originated,8440,2
Application approved but not accepted,93,1911
Loan purchased by the institution,586,10
Loan originated,6968,1
Application approved but not accepted,1556,7
Application withdrawn by applicant,1028,61
File closed for incompleteness,1308,5
Loan purchased by the institution,827,6
File closed for incompleteness,1011,26
Application approved but not accepted,0423,423
Application withdrawn by applicant,12227,1
Preapproval request denied by financial institution,294,12
