26-4599244,7,LOANDEPOT.COM,2007
7810600004,7,PROVIDENT FUNDING ASSOCIATES,2007
7505400005,7,STEARNS LENDING  INC.,2007
7197000003,7,QUICKEN LOANS  INC.,2007
0000019222,3,FREMONT BK,2007
7056000000,7,SIERRA PACIFIC MORTGAGE,2007
0000852320,9,BRANCH BKG&TC,2007
0000013044,1,BANK OF AMERICA  N.A.,2007
36-4327855,7,GUARANTEED RATE INC.,2007
0000012311,9,HUNTINGTON NB,2007
75-2921540,7,NATIONSTAR MORTGAGE LLC,2007
0002888798,2,PRIMELENDING A PLAINSCAPITAL C,2007
0001189117,9,STATE EMPL CU,2007
0000032489,3,HOMESTREET BK,2007
0000852218,9,JPMORGAN CHASE BK NA,2007
0000940311,9,BANCO POPULAR DE PR,2007
0000018039,4,COUNTRYWIDE BANK  FSB,2007
47-0912342,7,PARAMOUNT EQUITY MORTGAGE INC.,2007
0471809999,7,GUILD MORTGAGE COMPANY,2007
0000032296,3,UNION SVG BK,2007
26-4599244,7,LOANDEPOT.COM,2015
7810600004,7,PROVIDENT FUNDING ASSOCIATES,2015
7505400005,7,STEARNS LENDING  INC.,2015
7197000003,7,QUICKEN LOANS  INC.,2015
0000019222,3,FREMONT BK,2015
7056000000,7,SIERRA PACIFIC MORTGAGE,2015
0000852320,9,BRANCH BKG&TC,2015
0000013044,1,BANK OF AMERICA  N.A.,2015
36-4327855,7,GUARANTEED RATE INC.,2015
0000012311,9,HUNTINGTON NB,2015
75-2921540,7,NATIONSTAR MORTGAGE LLC,2015
0002888798,2,PRIMELENDING A PLAINSCAPITAL C,2015
0001189117,9,STATE EMPL CU,2015
0000032489,3,HOMESTREET BK,2015
0000852218,9,JPMORGAN CHASE BK NA,2015
0000940311,9,BANCO POPULAR DE PR,2015
0000018039,4,COUNTRYWIDE BANK  FSB,2015
47-0912342,7,PARAMOUNT EQUITY MORTGAGE INC.,2015
0471809999,7,GUILD MORTGAGE COMPANY,2015
0000032296,3,UNION SVG BK,2015
26-4599244,7,LOANDEPOT.COM,2013
7810600004,7,PROVIDENT FUNDING ASSOCIATES,2013
7505400005,7,STEARNS LENDING  INC.,2013
7197000003,7,QUICKEN LOANS  INC.,2013
0000019222,3,FREMONT BK,2013
7056000000,7,SIERRA PACIFIC MORTGAGE,2013
0000852320,9,BRANCH BKG&TC,2013
0000013044,1,BANK OF AMERICA  N.A.,2013
36-4327855,7,GUARANTEED RATE INC.,2013
0000012311,9,HUNTINGTON NB,2013
75-2921540,7,NATIONSTAR MORTGAGE LLC,2013
0002888798,2,PRIMELENDING A PLAINSCAPITAL C,2013
0001189117,9,STATE EMPL CU,2013
0000032489,3,HOMESTREET BK,2013
0000852218,9,JPMORGAN CHASE BK NA,2013
0000940311,9,BANCO POPULAR DE PR,2013
0000018039,4,COUNTRYWIDE BANK  FSB,2013
47-0912342,7,PARAMOUNT EQUITY MORTGAGE INC.,2013
0471809999,7,GUILD MORTGAGE COMPANY,2013
0000032296,3,UNION SVG BK,2013
26-4599244,7,LOANDEPOT.COM,2014
7810600004,7,PROVIDENT FUNDING ASSOCIATES,2014
